Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
count_12__reg_p,1.2,3.969e-06,0.000e+00,6.429e-09,3.975e-06
count_16__reg_p,1.2,3.968e-06,0.000e+00,6.497e-09,3.975e-06
count_15__reg_p,1.2,3.967e-06,0.000e+00,6.590e-09,3.973e-06
count_19__reg_p,1.2,3.967e-06,0.000e+00,6.590e-09,3.973e-06
count_21__reg_p,1.2,3.965e-06,0.000e+00,6.590e-09,3.972e-06
count_20__reg_p,1.2,3.965e-06,0.000e+00,6.590e-09,3.971e-06
led[1]_reg_p,1.2,3.964e-06,0.000e+00,6.408e-09,3.970e-06
count_22__reg_p,1.2,3.962e-06,0.000e+00,6.440e-09,3.969e-06
led[0]_reg_p,1.2,3.961e-06,0.000e+00,6.913e-09,3.968e-06
led[3]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[10]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[9]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[6]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[11]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[2]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[4]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[12]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[8]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[13]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[14]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[5]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[7]_reg_p,1.2,3.799e-06,0.000e+00,6.401e-09,3.806e-06
led[15]_reg_p,1.2,3.796e-06,0.000e+00,6.401e-09,3.803e-06
count_15__reg_p_D_AOI21X0P5H7L_Y,1.2,3.780e-06,0.000e+00,6.992e-10,3.781e-06
count_11__reg_p_D_AOI21X0P5H7L_Y,1.2,3.713e-06,0.000e+00,6.992e-10,3.714e-06
count_4__reg_p,1.2,3.649e-06,0.000e+00,6.406e-09,3.655e-06
count_0__reg_p,1.2,3.465e-06,0.000e+00,6.404e-09,3.472e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_C_NAND3X0P5H7L_Y,1.2,3.468e-06,0.000e+00,3.210e-10,3.469e-06
count_13__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y_D_NAND3X0P5H7L_Y,1.2,3.425e-06,0.000e+00,3.398e-10,3.426e-06
count_19__reg_p_D_AOI21X1P4H7L_Y_A1_OR3X1H7L_Y_B_NAND3X0P5H7L_Y,1.2,3.411e-06,0.000e+00,3.357e-10,3.411e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0,1.2,3.403e-06,0.000e+00,6.659e-10,3.403e-06
led[0]_reg_p_D_MUXI2X0P5H7L_Y,1.2,3.377e-06,0.000e+00,2.949e-09,3.380e-06
count_3__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y_B_NAND3X0P5H7L_Y,1.2,3.271e-06,0.000e+00,3.323e-10,3.271e-06
count_5__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y,1.2,3.185e-06,0.000e+00,3.175e-09,3.188e-06
count_17__reg_p_D_AOI2XB1X1H7L_Y_A1N_NOR3X1P4H7L_Y,1.2,3.145e-06,0.000e+00,4.953e-10,3.146e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_A1_OAI2BB1X0P5H7L_Y_B0_OA31X1H7L_Y,1.2,3.127e-06,0.000e+00,1.406e-09,3.129e-06
count_15__reg_p_D_AOI21X0P5H7L_Y_A1_NAND3BX0P5H7L_Y,1.2,3.098e-06,0.000e+00,9.594e-10,3.099e-06
count_1__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,3.095e-06,0.000e+00,3.148e-09,3.098e-06
count_14__reg_p_D_NOR2X1P4H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.987e-06,0.000e+00,3.229e-09,2.990e-06
count_11__reg_p_D_AOI21X0P5H7L_Y_A1_NAND3BX0P5H7L_Y,1.2,2.899e-06,0.000e+00,9.710e-10,2.900e-06
led[1]_reg_p_D_MUX2X1P4H7L_Y,1.2,2.804e-06,0.000e+00,2.477e-09,2.807e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y_C_NOR4X0P5H7L_Y,1.2,2.698e-06,0.000e+00,4.497e-10,2.699e-06
count_13__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.616e-06,0.000e+00,3.229e-09,2.619e-06
count_10__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.556e-06,0.000e+00,3.194e-09,2.559e-06
count_9__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.533e-06,0.000e+00,3.211e-09,2.536e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y_D_NOR4X0P5H7L_Y,1.2,2.452e-06,0.000e+00,4.089e-10,2.452e-06
count_12__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,2.425e-06,0.000e+00,3.222e-09,2.428e-06
led[15]_reg_p_D_MUX2X1P4H7L_Y,1.2,2.359e-06,0.000e+00,2.454e-09,2.361e-06
