Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
R[2]_0__NOR4BX1P4H7R_B_Z_AOI221X4H7R_C0,1.2,1.752e-05,0.000e+00,3.798e-10,1.752e-05
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0,1.2,1.601e-05,0.000e+00,3.780e-10,1.601e-05
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR2BX1P4H7R_B_Z_XNOR2X1P4H7R_A,1.2,1.575e-05,0.000e+00,3.883e-10,1.575e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y_A1_MUX2X8H7R_Y,1.2,1.547e-05,0.000e+00,1.312e-09,1.547e-05
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_B0_OAI211X1P4H7R_Y,1.2,1.412e-05,0.000e+00,1.025e-10,1.412e-05
pc_3__reg_p_D_AOI21X0P5H7R_Y,1.2,1.398e-05,0.000e+00,8.764e-11,1.398e-05
R[2]_2__reg_p_D_NOR2X0P5H7R_Y_B_OAO211X0P5H7R_Y_A1_XNOR2X0P5H7R_Y_A_OAI2BB1X0P5H7R_Y,1.2,1.255e-05,0.000e+00,1.420e-10,1.255e-05
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_C0_AOI21X0P5H7R_Y_B0_OA22X0P5H7R_Y,1.2,1.246e-05,0.000e+00,1.805e-10,1.247e-05
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y,1.2,1.218e-05,0.000e+00,1.280e-10,1.218e-05
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C_A_AOI211X2H7R_Y_A1_OAI221X0P5H7R_Y,1.2,1.196e-05,0.000e+00,9.176e-11,1.196e-05
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C_A_AOI211X2H7R_Y_A0_OAI221X0P5H7R_Y,1.2,1.196e-05,0.000e+00,9.176e-11,1.196e-05
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_OAI21X0P7H7R_B0,1.2,1.184e-05,0.000e+00,9.651e-11,1.184e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y_A1_MUX2X8H7R_Y_B_NAND2X0P5H7R_B_Y_OAI21X1P4H7R_A1_B0_NAND3X1H7R_Y,1.2,1.140e-05,0.000e+00,5.780e-11,1.140e-05
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_A0_AOAI211X1P4H7R_A1,1.2,1.081e-05,0.000e+00,1.170e-10,1.081e-05
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C_A_AOI211X2H7R_Y_C0_AOI211X2H7R_Y,1.2,1.068e-05,0.000e+00,1.271e-10,1.068e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_R_$_SDFF_PN0__R_D_$_ANDNOT__A_Y_$_OR__B_Y_AOI2BB1X0P5H7R_Y,1.2,1.058e-05,0.000e+00,1.788e-10,1.058e-05
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_Y_BUFX16H7R_A,1.2,1.031e-05,0.000e+00,1.309e-09,1.032e-05
out_0__reg_p_D_OAOI211X0P5H7R_Y_A0_XNOR2X0P5H7R_A,1.2,1.027e-05,0.000e+00,3.505e-10,1.027e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y_A1_MUX2X8H7R_Y_B_XOR2X0P5H7R_Y_B_OA211X4H7R_A1_C0_NAND3X0P5H7R_Y,1.2,1.011e-05,0.000e+00,4.580e-11,1.011e-05
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_OR__Y_B_$_DFF_P__Q_D_$_MUX__Y_B_$_NAND__A_Y_AOI211X1P4H7R_Y,1.2,9.745e-06,0.000e+00,1.119e-10,9.745e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR4X2H7R_Y,1.2,9.639e-06,0.000e+00,1.003e-10,9.639e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A,1.2,8.564e-06,0.000e+00,3.498e-10,8.564e-06
